geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
rolandia,PR,3,-23.314367020180033,-51.3738755293534
artur nogueira,SP,3,-22.57120786162834,-47.1657687687331
duque de caxias,RJ,3,-22.729869173440324,-43.296942686705506
santa maria,RS,3,-29.696471199823964,-53.75456433547421
santa bárbara d'oeste,SP,3,-22.76121466233191,-47.40653691874016
tabatinga,SP,3,-21.73706314242179,-48.687600901117015
uberaba,MG,3,-19.756270372779586,-47.938178343902386
aruja,SP,3,-23.3992386631989,-46.32724943609788
jaguariuna,SP,3,-22.69294884489288,-46.98287754029338
venancio aires,RS,3,-29.611110671457663,-52.193313555031075
batatais,SP,3,-20.902351312997194,-47.58317411415381
cachoeirinha,RS,3,-29.932908448780424,-51.09185041467746
mesquita,RJ,3,-22.77394564330629,-43.42340056288381
carazinho,RS,3,-28.29124464593789,-52.79025576343903
pelotas,RS,3,-31.75402159562147,-52.33524850444861
cariacica,ES,3,-20.321530350040362,-40.38797612831073
mogi mirim,SP,3,-22.431497095562168,-46.96630506902482
cambe,PR,3,-23.28496872418553,-51.26671101893464
macae,RJ,3,-22.355904296628285,-41.778750073529345
lencois paulista,SP,3,-22.598845612991415,-48.804623506835945
serra negra,SP,3,-22.614621137795265,-46.709593428612386
loanda,PR,3,-22.929383785209307,-53.13587259427024
jau,SP,3,-22.2816194107394,-48.54856406334682
anapolis,GO,3,-16.347030589632624,-48.953872582979784
lages,SC,3,-27.81908354776185,-50.3350346123176
lençóis paulista,SP,3,-22.602714112584028,-48.79041890564511
jundiaí,SP,3,-23.175775367299536,-46.905567548059814
marechal candido rondon,PR,3,-24.55452501789851,-54.05852495786673
campo largo,PR,3,-25.458940546653366,-49.53635602514379
pompeia,SP,3,-22.10367343012363,-50.17893613850754
sao bento do sul,SC,3,-26.24054329829846,-49.39578256490112
chapeco,SC,3,-27.103127892155005,-52.61499355615998
guaratuba,PR,3,-25.887866961664873,-48.58448614693001
morrinhos,GO,3,-17.733896355961825,-49.11590889021752
montes claros,MG,3,-16.721976101453777,-43.862913638944725
navegantes,SC,3,-26.8749209758567,-48.64852414651665
osvaldo cruz,SP,3,-21.795711019289442,-50.879277765103005
marília,SP,3,-22.197206766114302,-49.9521952681175
registro,SP,2,-24.498837779550897,-47.84616128650988
coronel fabriciano,MG,2,-19.506713154390685,-42.628614039650095
cosmopolis,SP,2,-22.637664175696557,-47.18345002291001
jaguariúna,SP,2,-22.69420041745738,-46.98580962033324
jaguaruna,SC,2,-28.633920987357754,-49.024157474362944
viamao,RS,2,-30.08065606671188,-51.03755566893592
uruacu,GO,2,-14.518474806651268,-49.14209708875239
volta redonda,RJ,2,-22.502342989941226,-44.12851768117163
são bernardo do campo,SP,2,-23.695388221673284,-46.568181571552586
sombrio,SC,2,-29.108465252964574,-49.63523203121822
curitibanos,SC,2,-27.290948728745207,-50.577361136441255
criciúma,SC,2,-28.684622581673878,-49.36294500020432
cuiaba,MT,2,-15.631518659890624,-56.07717871431559
dores de campos,MG,2,-21.109897644968864,-44.02336767935939
criciuma,SC,2,-28.67985690393906,-49.36982425379968
santa rosa,RS,2,-28.057902813403288,-54.39263031117398
rodeio,SC,2,-26.88932240353919,-49.35056297333393
dois corregos,SP,2,-22.368024597233408,-48.386261979222404
echapora,SP,2,-22.4299509636415,-50.20543406742506
treze tilias,SC,2,-26.998521324070396,-51.411579838730134
auriflama,SP,2,-20.685083174259976,-50.55462075520381
baependi,MG,2,-21.961660896718744,-44.88903628055419
bady bassitt,SP,2,-20.91711533777068,-49.45081883954137
araxa,MG,2,-19.600894515631342,-46.93168169534028
armacao dos buzios,RJ,2,-22.766572484803717,-41.908675205986285
tatui,SP,2,-23.34178423554456,-47.847418736404336
taubaté,SP,2,-23.022806049124338,-45.550847355737325
teresopolis,RJ,2,-22.42443069874539,-42.97347126402947
timbo,SC,2,-26.827603296905576,-49.27037623408747
tiradentes,MG,2,-21.10980791604441,-44.17477905963709
