geolocation_city,geolocation_state,total_orders,avg_lat,avg_lng
ponte nova,MG,39,-20.41036998568499,-42.899324101349244
umuarama,PR,39,-23.76299667726305,-53.305798613464816
tremembe,SP,38,-22.97498488374376,-45.547937514535704
aracruz,ES,38,-19.849450727403404,-40.22468041984195
monte mor,SP,38,-22.944389409694327,-47.295351221518395
bom despacho,MG,38,-19.740337139221076,-45.25863430864746
capao da canoa,RS,38,-29.7331750608532,-50.007224042358075
paulo afonso,BA,38,-9.40681252412891,-38.22222021160388
porto seguro,BA,38,-16.432027097855745,-39.07562867228171
barra do pirai,RJ,37,-22.47394414087217,-43.819178974071804
guaxupé,MG,37,-21.305958369618207,-46.71407789047773
ceilandia,DF,37,-15.828232158343603,-48.11157678908394
nova odessa,SP,37,-22.786226379940732,-47.2969232162996
araguaina,TO,37,-7.19382363525395,-48.20896196588312
campo largo,PR,36,-25.462455422959575,-49.527956295243165
eunapolis,BA,36,-16.368617848402643,-39.584212738235536
caldas novas,GO,36,-17.73942377072625,-48.6198526311481
itajubá,MG,36,-22.42045305075037,-45.45300681310874
olimpia,SP,36,-20.73752999199967,-48.9090364662508
guanambi,BA,36,-14.223207197286886,-42.78339770003472
são luís,MA,36,-2.5158419126699916,-44.26454462706844
guaira,SP,36,-20.3249901235719,-48.320131288780836
vassouras,RJ,36,-22.40767287308994,-43.667689767440216
pedreira,SP,36,-22.74032548616481,-46.896753691339335
luis eduardo magalhaes,BA,36,-12.092512976501046,-45.80692672676449
alegrete,RS,35,-29.78867906677221,-55.78913946004575
tiete,SP,35,-23.101621006440027,-47.71181914055678
osorio,RS,35,-29.89559160193635,-50.25566064711838
adamantina,SP,35,-21.684238907966446,-51.07601533556035
ribeirão pires,SP,35,-23.710676342440642,-46.405656028301955
caucaia,CE,35,-3.7410856695411097,-38.64666515221026
campo bom,RS,35,-29.677045008814133,-51.060403440177396
santarem,PA,35,-2.4300573041642104,-54.71521553353037
santa rita do sapucai,MG,35,-22.247210939506797,-45.70752067761215
taquaritinga,SP,35,-21.407737459936502,-48.50848245943844
rio do sul,SC,35,-27.215618527651316,-49.642138414410724
itumbiara,GO,35,-18.412585087534907,-49.223877959273445
valenca,BA,35,-13.367204191409803,-39.0719662526638
sao sebastiao do paraiso,MG,35,-20.91395197058557,-46.98629619076701
paracambi,RJ,35,-22.61483382699214,-43.705683375748585
santo angelo,RS,34,-28.30281398563459,-54.264074705953014
formosa,GO,34,-15.544588128786783,-47.33208063070998
santa fe do sul,SP,34,-20.22052678746204,-50.90342436588622
santa cruz do rio pardo,SP,34,-22.896328480532986,-49.624240162468844
poá,SP,34,-23.522064272204926,-46.34939012922824
sao joaquim da barra,SP,34,-20.585751390105457,-47.863693188164746
japeri,RJ,34,-22.665174706660398,-43.62569706928788
cacador,SC,34,-26.778889384718987,-51.00773940333761
tres lagoas,MS,33,-20.777278787204676,-51.689902525721294
valparaiso de goias,GO,33,-16.073407769554617,-47.98478215377896
mococa,SP,33,-21.467833992879637,-47.006638328886105
muriaé,MG,33,-21.13260029757912,-42.36747222975588
palhoça,SC,33,-27.65894901826047,-48.675132269281434
catalao,GO,33,-18.16995962993519,-47.9448977428684
mariana,MG,33,-20.37497229153692,-43.418085248936116
